Imperfective	Perfective
сдерживать	сдержать
удерживать	удержать
приудерживать	приудержать
выдерживать	выдержать
сжимать	сжать
сжинать	сжать
отжимать	отжать
отжинать	отжать
ужимать	ужать
ужинать	ужать
выжимать	выжать
выжинать	выжать
заказывать	заказать
наказывать	наказать
приказывать	приказать
оказывать	оказать
доказывать	доказать
показывать	показать
насказывать	насказать
обсказывать	обсказать
предсказывать	предсказать
подсказывать	подсказать
пересказывать	пересказать
досказывать	досказать
недосказывать	недосказать
рассказывать	рассказать
высказывать	высказать
отказывать	отказать
отказывать	отказать
указывать	указать
выказывать	выказать
замазывать	замазать
намазывать	намазать
обмазывать	обмазать
вмазывать	вмазать
подмазывать	подмазать
перемазывать	перемазать
размазывать	размазать
измазывать	измазать
примазывать	примазать
домазывать	домазать
помазывать	помазать
миропомазывать	миропомазать
промазывать	промазать
смазывать	смазать
отмазывать	отмазать
умазывать	умазать
вымазывать	вымазать
нарезать	нарезать
обрезать	обрезать
обрезать	обрезать
врезать	врезать
надрезать	надрезать
подрезать	подрезать
перерезать	перерезать
разрезать	разрезать
взрезать	взрезать
изрезать	изрезать
прирезать	прирезать
дорезать	дорезать
прорезать	прорезать
срезать	срезать
отрезать	отрезать
отрезать	отрезать
урезать	урезать
вырезать	вырезать
вырезать	вырезать
зализывать	зализать
облизывать	облизать
подлизывать	подлизать
разлизывать	разлизать
излизывать	излизать
прилизывать	прилизать
долизывать	долизать
пролизывать	пролизать
слизывать	слизать
отлизывать	отлизать
вылизывать	вылизать
нанизывать	нанизать
обнизывать	обнизать
поднизывать	поднизать
перенизывать	перенизать
разнизывать	разнизать
изнизывать	изнизать
принизывать	принизать
донизывать	донизать
пронизывать	пронизать
снизывать	снизать
отнизывать	отнизать
унизывать	унизать
вынизывать	вынизать
растерзывать	растерзать
обязывать	обязать
завязывать	завязать
навязывать	навязать
обвязывать	обвязать
ввязывать	ввязать
надвязывать	надвязать
подвязывать	подвязать
перевязывать	перевязать
развязывать	развязать
извязывать	извязать
привязывать	привязать
довязывать	довязать
повязывать	повязать
провязывать	провязать
связывать	связать
взаимосвязывать	взаимосвязать
отвязывать	отвязать
увязывать	увязать
вывязывать	вывязать
заскакивать	заскакать
наскакивать	наскакать
обскакивать	обскакать
вскакивать	вскакать
подскакивать	подскакать
перескакивать	перескакать
прискакивать	прискакать
доскакивать	доскакать
проскакивать	проскакать
отскакивать	отскакать
ускакивать	ускакать
выскакивать	выскакать
оплакивать	оплакать
выплакивать	выплакать
закликать	закликать
накликать	накликать
скликать	скликать
общелкивать	общелкать
расщелкивать	расщелкать
отщелкивать	отщелкать
выщелкивать	выщелкать
заталкивать	затолкать
наталкивать	натолкать
вталкивать	втолкать
приталкивать	притолкать
проталкивать	протолкать
расталкивать	растолкать
отталкивать	оттолкать
выталкивать	вытолкать
скомкивать	скомкать
захаркивать	захаркать
обхаркивать	обхаркать
отхаркивать	отхаркать
выхаркивать	выхаркать
зашаркивать	зашаркать
обшаркивать	обшаркать
